1,1,CS544-2017-01A-01D,FA,1/16/17
2,2,CS544-2017-01A-01D,FP,1/16/17
3,3,CS544-2017-01A-01D,FA,1/17/17
4,4,CS544-2017-01A-01D,FP,1/17/17
5,5,CS544-2017-01A-01D,FA,1/18/17
6,6,CS544-2017-01A-01D,FP,1/18/17
7,7,CS544-2017-01A-01D,FA,1/17/17
8,8,CS544-2017-01A-01D,FP,1/17/17
9,9,CS544-2017-01A-01D,FA,1/16/17
10,10,CS544-2017-01A-01D,FP,1/16/17
11,11,CS544-2017-01A-01D,FA,1/17/17
12,12,CS544-2017-01A-01D,FP,1/17/17
13,13,CS544-2017-01A-01D,FA,1/16/17
14,14,CS544-2017-01A-01D,FP,1/16/17
15,15,CS544-2017-01A-01D,FA,1/17/17
16,16,CS544-2017-01A-01D,FP,1/17/17
17,17,CS544-2017-01A-01D,FA,1/16/17
18,18,CS544-2017-01A-01D,FP,1/16/17
19,19,CS544-2017-01A-01D,FA,1/17/17
20,20,CS544-2017-01A-01D,FP,1/17/17
21,21,CS544-2017-01A-01D,FA,1/16/17
22,22,CS544-2017-01A-01D,FP,1/16/17
